model,sample_id,class_name,iou,pg
vit_base_patch16_224,Pest_14,Pest,0.04759040673633561,0
vit_base_patch16_224,Pest_16,Pest,0.059334409345938054,0
vit_base_patch16_224,Pest_17,Pest,0.0,0
vit_base_patch16_224,Pest_18,Pest,0.2217691037964851,0
vit_base_patch16_224,Phytopthora_01,Phytopthora,0.03806801083358411,0
vit_base_patch16_224,Phytopthora_02,Phytopthora,0.0651357246728066,0
vit_base_patch16_224,Phytopthora_03,Phytopthora,0.2232494803984806,0
vit_base_patch16_224,Phytopthora_05,Phytopthora,0.03649245771750724,0
vit_base_patch16_224,Phytopthora_06,Phytopthora,0.04785599297526709,1
vit_base_patch16_224,Phytopthora_07,Phytopthora,0.13655263655263655,0
vit_base_patch16_224,Phytopthora_09,Phytopthora,0.09027641638894335,0
vit_base_patch16_224,Phytopthora_10,Phytopthora,0.11257999326372516,0
vit_base_patch16_224,Phytopthora_11,Phytopthora,0.08118222819307168,0
vit_base_patch16_224,Phytopthora_12,Phytopthora,0.17644019633169725,1
vit_base_patch16_224,Phytopthora_13,Phytopthora,0.15452151009657594,0
vit_base_patch16_224,Phytopthora_14,Phytopthora,0.05776291098963857,0
vit_base_patch16_224,Phytopthora_15,Phytopthora,0.1918244890305644,0
vit_base_patch16_224,Phytopthora_17,Phytopthora,0.03830985915492958,0
vit_base_patch16_224,Phytopthora_18,Phytopthora,0.016651248843663275,0
vit_base_patch16_224,Phytopthora_19,Phytopthora,0.07787710397036321,0
vit_base_patch16_224,Virus_00,Virus,0.0,0
vit_base_patch16_224,Virus_01,Virus,0.029882309672673777,0
vit_base_patch16_224,Virus_02,Virus,0.032034050179211467,0
vit_base_patch16_224,Virus_05,Virus,0.04614203454894434,0
vit_base_patch16_224,Virus_06,Virus,0.05683820120537784,0
vit_base_patch16_224,Virus_07,Virus,0.011853261810001731,0
vit_base_patch16_224,Virus_08,Virus,0.0,0
vit_base_patch16_224,Virus_09,Virus,0.16735694362268616,0
vit_base_patch16_224,Virus_10,Virus,0.03337980808660707,0
vit_base_patch16_224,Virus_11,Virus,0.025018504811250925,0
vit_base_patch16_224,Virus_12,Virus,0.08419735430818734,0
vit_base_patch16_224,Virus_17,Virus,0.10321651464234277,1
vit_base_patch16_224,Virus_19,Virus,0.0,0
